keyword,category,era,geo,surge_number,rough_peak_date,rel_to_anchor,data_mode,event_start_date,event_end_date,peak_value,peak_width_days,time_to_peak_days,tight_pad_days,width_truncated,possible_weekly_resolution,never_decays_in_scope
Weeb,age_proxy,reels_covid,global,2,9/1/2020,0.52,plain text (no entity match found),12/29/2019,8/22/2021,100,602,378,360,1,1,1
Otaku,age_proxy,baseline,global,1,7/1/2015,0.5526,plain text (no entity match found),12/28/2014,6/19/2016,100,539,350,360,1,1,1
Otaku,age_proxy,reels_covid,global,2,12/1/2020,1,plain text (no entity match found),12/11/2020,12/21/2020,100,10,4,45,0,0,0
Otaku,age_proxy,ai_gen,global,3,5/1/2026,0.7632,plain text (no entity match found),11/2/2025,9/13/2026,100,315,175,180,1,1,1
Waifu,age_proxy,reels_covid,global,1,5/1/2020,1,plain text (no entity match found),12/29/2019,10/25/2020,100,301,126,180,1,1,1
Waifu,age_proxy,ai_gen,global,2,7/1/2023,0.7037,plain text (no entity match found),1/1/2023,6/23/2024,100,539,182,360,1,1,1
Baka,age_proxy,baseline,global,1,1/1/2015,0.7381,plain text (no entity match found),1/1/2015,2/15/2015,100,45,9,45,1,0,1
Baka,age_proxy,reels_covid,global,2,9/1/2021,1,plain text (no entity match found),12/29/2019,12/25/2022,100,1092,700,720,1,1,1
Baka,age_proxy,ai_gen,global,3,2/1/2026,0.6905,plain text (no entity match found),11/14/2025,2/13/2026,100,91,79,90,0,0,0
Kawaii,age_proxy,baseline,global,1,12/1/2017,0.85,plain text (no entity match found),12/28/2014,12/29/2019,100,1827,1085,1440,1,1,1
Kawaii,age_proxy,reels_covid,global,2,6/1/2021,1,plain text (no entity match found),12/29/2019,12/25/2022,100,1092,84,720,1,1,1
Kawaii,age_proxy,ai_gen,global,3,2/1/2026,0.99,plain text (no entity match found),2/2/2025,9/13/2026,100,588,378,360,1,1,1
Maknae,age_proxy,baseline,global,1,12/1/2017,0.6364,plain text (no entity match found),12/28/2014,12/29/2019,100,1827,1092,1440,1,1,1
Maknae,age_proxy,reels_covid,global,2,5/1/2020,1,plain text (no entity match found),12/29/2019,10/25/2020,100,301,140,180,1,1,1
Maknae,age_proxy,ai_gen,global,3,9/1/2026,0.8182,plain text (no entity match found),7/18/2026,9/15/2026,100,59,50,45,1,0,1
Aegyo,age_proxy,baseline,global,1,6/1/2017,1,plain text (no entity match found),12/28/2014,12/29/2019,100,1827,1092,1440,1,1,1
Aegyo,age_proxy,reels_covid,global,2,4/1/2020,0.9,plain text (no entity match found),12/29/2019,9/27/2020,100,273,147,180,1,1,1
Aegyo,age_proxy,ai_gen,global,3,9/1/2026,1,plain text (no entity match found),7/18/2026,9/15/2026,100,59,25,45,1,0,1
Bias wrecker,age_proxy,reels_covid,global,1,6/1/2021,1,plain text (no entity match found),12/29/2019,12/25/2022,100,1092,735,720,1,1,1
Bias wrecker,age_proxy,ai_gen,global,2,5/1/2023,0.8,plain text (no entity match found),5/4/2023,5/15/2023,100,11,3,45,0,0,0
PLUR,age_proxy,baseline,global,1,2/1/2017,0.9,plain text (no entity match found),2/19/2017,2/27/2017,100,8,4,45,0,0,0
PLUR,age_proxy,reels_covid,global,2,1/1/2020,0.5,plain text (no entity match found),1/1/2020,2/15/2020,100,45,27,45,1,0,1
PLUR,age_proxy,ai_gen,global,3,7/1/2025,1,plain text (no entity match found),7/9/2023,9/13/2026,100,1162,728,720,1,1,1
Kandi,age_proxy,baseline,global,1,1/1/2016,0.86,plain text (no entity match found),12/28/2014,12/17/2017,100,1085,371,720,1,1,1
Kandi,age_proxy,reels_covid,global,2,5/1/2020,1,plain text (no entity match found),5/20/2020,5/23/2020,100,3,1,45,0,0,0
Kandi,age_proxy,ai_gen,global,3,11/1/2025,0.68,plain text (no entity match found),11/20/2025,11/27/2025,100,7,2,45,0,0,0
Kiki,age_proxy,baseline,global,1,8/1/2018,1,plain text (no entity match found),7/7/2018,9/10/2018,100,65,28,45,0,0,0
Gacha,age_proxy,baseline,global,1,12/1/2019,0.5439,plain text (no entity match found),10/17/2019,12/31/2019,100,75,72,45,1,0,1
Gacha,age_proxy,reels_covid,global,2,12/1/2021,1,plain text (no entity match found),12/29/2019,12/25/2022,100,1092,1092,720,1,1,1
Gacha,age_proxy,ai_gen,global,3,1/1/2023,0.7895,plain text (no entity match found),1/1/2023,2/15/2023,100,45,0,45,1,0,1
Dark academia,age_proxy,reels_covid,global,1,12/1/2020,1,plain text (no entity match found),6/28/2020,12/25/2022,100,910,182,1440,1,1,1
Dark academia,age_proxy,ai_gen,global,2,1/1/2023,0.5,plain text (no entity match found),1/1/2023,2/15/2023,100,45,5,45,1,0,1
Cottagecore,age_proxy,reels_covid,global,1,11/1/2020,1,plain text (no entity match found),11/14/2020,11/25/2020,100,11,2,45,0,0,0
Cottagecore,age_proxy,ai_gen,global,2,2/1/2026,1,plain text (no entity match found),2/6/2026,2/28/2026,100,22,9,45,0,0,0
Vaporwave,age_proxy,baseline,global,1,10/1/2016,1,plain text (no entity match found),3/15/2015,12/29/2019,100,1750,777,1440,1,1,1
Vaporwave,age_proxy,reels_covid,global,2,1/1/2020,0.6667,plain text (no entity match found),1/1/2020,2/15/2020,100,45,32,45,1,0,1
Vaporwave,age_proxy,ai_gen,global,3,2/1/2026,0.6667,plain text (no entity match found),2/6/2026,2/28/2026,100,22,9,45,0,0,0
OTP,age_proxy,baseline,global,1,7/1/2019,0.69,plain text (no entity match found),7/1/2018,12/29/2019,100,546,518,360,1,1,1
OTP,age_proxy,reels_covid,global,2,3/1/2022,0.94,plain text (no entity match found),2/28/2021,12/25/2022,100,665,364,360,1,1,1
