keyword,category,era,sample_size_all,sample_size_shorts,sample_size_videos,above_threshold_all,above_threshold_shorts,above_threshold_videos,below_threshold_all,below_threshold_shorts,below_threshold_videos,pct_above_threshold_all,pct_above_threshold_shorts,pct_above_threshold_videos,median_views_all,median_views_shorts,median_views_videos,mean_views_all,mean_views_shorts,mean_views_videos,min_views_seen_all,min_views_seen_shorts,min_views_seen_videos,max_views_seen_all,max_views_seen_shorts,max_views_seen_videos,total_views_all,total_views_shorts,total_views_videos,error
Ermahgerd,age_proxy,baseline,131,49,82,58,15,43,73,34,39,44.3,30.6,52.4,402,100,1318,39061,21985,49265,2,6,2,594791,417901,594791,5116991,1077265,4039730,
Fail whale,age_proxy,baseline,121,65,56,63,27,36,58,38,20,52.1,41.5,64.3,1166,603,3498,234893,381681,64514,1,11,1,11774436,11774436,571018,28422053,24809265,3612784,
Fail whale,age_proxy,ai_gen,94,66,28,58,42,16,36,24,12,61.7,63.6,57.1,10251,5435,39342,955152,923230,1030398,0,0,1,11621737,11037050,11621737,89784288,60933180,28851144,
Fail whale,age_proxy,reels_covid,169,123,46,120,82,38,49,41,8,71,66.7,82.6,8367,5371,21272,2461724,2033646,3606367,2,2,52,64589043,64589043,60450687,416031356,250138458,165892882,
Fanum tax,age_proxy,ai_gen,500,471,29,300,288,12,200,183,17,60,61.1,41.4,2159,2231,438,530803,553799,157319,2,2,5,74298038,74298038,1796374,265401500,260839329,4562251,
FeelsBadMan,age_proxy,baseline,31,14,17,13,2,11,18,12,6,41.9,14.3,64.7,891,243,5865,26140,41044,13866,25,25,31,565071,565071,95028,810340,574616,235722,
FeelsGoodMan,age_proxy,baseline,13,5,8,6,2,4,7,3,4,46.2,40,50,89,89,700,5090,1922,7071,22,22,25,27382,5550,27382,66170,9610,56568,
Girl dinner,age_proxy,ai_gen,500,457,43,471,431,40,29,26,3,94.2,94.3,93,16463,14935,59537,1178102,1247822,437119,3,3,279,320362392,320362392,6242674,589051000,570254654,18796117,
Hawk Tuah,age_proxy,ai_gen,500,429,71,475,408,67,25,21,4,95,95.1,94.4,23008,22484,25346,267681,267380,269499,1,1,43,9692941,9562653,9692941,133840500,114706020,19134429,
Heckin chonker,age_proxy,ai_gen,1,1,0,0,0,,1,1,,0,0,,79,79,,79,79,,79,79,,79,79,,79,79,0,
Ight Imma head out,age_proxy,baseline,496,344,152,109,74,35,387,270,117,22,21.5,23,87,99,57,20234,9965,43475,0,0,0,1256513,569050,1256513,10036064,3427960,6608200,
Italian brainrot,age_proxy,ai_gen,500,349,151,467,323,144,33,26,7,93.4,92.6,95.4,4576773,6690366,3415505,15714191,19714976,6467343,1,1,1,431421932,431421932,91302607,7857095500,6880526624,976568793,
Kappa,age_proxy,baseline,500,155,345,493,148,345,7,7,0,98.6,95.5,100,68298,23754,114944,1173369,792471,1344497,17,17,1610,103792460,103792460,82221604,586684500,122833005,463851465,
Kappa,age_proxy,ai_gen,300,186,114,265,163,102,35,23,12,88.3,87.6,89.5,53012,39835,73036,668284,491755,956303,0,0,0,44923162,5265440,44923162,200485200,91466430,109018542,
Kappa,age_proxy,reels_covid,352,109,243,289,83,206,63,26,37,82.1,76.1,84.8,3493,2139,5147,282699,27003,397394,17,54,17,44923162,2282649,44923162,99510048,2943327,96566742,
Kekw,age_proxy,reels_covid,84,47,37,60,32,28,24,15,9,71.4,68.1,75.7,2443,1806,3882,66010,86370,40146,27,27,93,2699639,2699639,264411,5544840,4059390,1485402,
Kermit sipping tea,age_proxy,baseline,1,1,0,0,0,,1,1,,0,0,,143,143,,143,143,,143,143,,143,143,,143,143,0,
