keyword,category,era,sample_size_all,sample_size_shorts,sample_size_videos,above_threshold_all,above_threshold_shorts,above_threshold_videos,below_threshold_all,below_threshold_shorts,below_threshold_videos,pct_above_threshold_all,pct_above_threshold_shorts,pct_above_threshold_videos,median_views_all,median_views_shorts,median_views_videos,mean_views_all,mean_views_shorts,mean_views_videos,min_views_seen_all,min_views_seen_shorts,min_views_seen_videos,max_views_seen_all,max_views_seen_shorts,max_views_seen_videos,total_views_all,total_views_shorts,total_views_videos,error
Baka,age_proxy,reels_covid,500,493,7,98.6,1077067512,268595,2154135,64,220724516,216,209,7,96.8,533520494,251624,2470002,64,103204342,284,284,0,100,543547018,290022,1235001000,31552,722430394,
Baka,age_proxy,ai_gen,367,334,33,91,362163776,40220,986822,4,47787297,182,154,28,84.6,177920646,34680,977585,4,47787297,185,180,5,97.3,184243130,43659,358773695,1336,1576980801,
Kawaii,age_proxy,baseline,500,489,11,97.8,1241779634,353390,2483559,11,190630208,78,69,9,88.5,136660504,198970,1752057,11,39664332,422,420,2,99.5,1105119130,395595,876028500,5379,436307652,
Kawaii,age_proxy,reels_covid,500,465,35,93,1825254007,191177,3650508,66,188675563,223,190,33,85.2,892974500,22474,4004369,66,121649139,277,275,2,99.3,932279507,329216,2002184500,30690,4257719865,
Kawaii,age_proxy,ai_gen,500,497,3,99.4,1879384379,512438,3758768,316,145460077,453,450,3,99.3,1771858445,570386,3911387,316,145460077,47,47,0,100,107525934,466746,1955693500,157052,436380231,
Maknae,age_proxy,baseline,500,472,28,94.4,810775292,39686,1621550,0,403676961,194,174,20,89.7,51489376,19942,265409,0,10657588,306,298,8,97.4,759285916,71175,132704500,0,298412464,
Maknae,age_proxy,reels_covid,500,436,64,87.2,159950770,13905,319901,2,31063602,184,139,45,75.5,131155907,4255,712803,2,31063602,316,297,19,94,28794863,20988,356401500,872,1988070528,
Maknae,age_proxy,ai_gen,500,434,66,86.8,70917470,18107,141834,3,6906023,483,422,61,87.4,70397970,19024,145751,3,6906023,17,12,5,70.6,519500,10252,72875500,1302,455797518,
Aegyo,age_proxy,baseline,500,497,3,99.4,155194561,67578,310389,295,8790977,274,273,1,99.6,73366354,45048,267760,615,8790977,226,224,2,99.1,81828207,104598,133880000,305655,26372931,
Aegyo,age_proxy,reels_covid,494,290,204,58.7,15417232,1774,31208,3,2266375,346,185,161,53.5,9245822,1108,26722,4,2266375,148,105,43,70.9,6171410,7658,13200668,1160,462340500,
Aegyo,age_proxy,ai_gen,500,432,68,86.4,51672222,5174,103344,2,9326271,486,422,64,86.8,51595394,5247,106163,2,9326271,14,10,4,71.4,76828,2347,53081500,864,634186428,
Bias wrecker,age_proxy,reels_covid,500,405,95,81,12572365,2159,25144,2,5275340,474,380,94,80.2,11870671,2083,25043,2,5275340,26,25,1,96.2,701694,10690,12521500,810,501157300,
Bias wrecker,age_proxy,ai_gen,245,111,134,45.3,1731026,804,7065,1,674312,219,101,118,46.1,1637727,804,7478,1,674312,26,10,16,38.5,93299,870,1832110,111,90357808,
PLUR,age_proxy,baseline,170,69,101,40.6,6883407,509,40490,3,2044019,57,20,37,35.1,406380,412,7129,3,329692,113,49,64,43.4,6477027,657,1211930,207,33298892,
PLUR,age_proxy,reels_covid,228,109,119,47.8,188067329,756,824856,0,34643033,96,16,80,16.7,3487770,54,36330,0,1665435,132,93,39,70.5,184579559,7484,8283240,0,198186765,
PLUR,age_proxy,ai_gen,500,365,135,73,119799825,11036,239599,0,16526653,437,338,99,77.3,85507240,15956,195668,1,15701488,63,27,36,42.9,34292585,449,97834000,365,2119700880,
Kandi,age_proxy,baseline,300,291,9,97,745158926,36595,2483863,254,697295360,154,146,8,94.8,19772437,25141,128392,254,1683575,146,145,1,99.3,725386489,47112,38517600,73914,15152175,
Kandi,age_proxy,reels_covid,49,33,16,67.3,2103755,7236,42933,10,503840,7,5,2,71.4,593661,17057,84808,10,494272,42,28,14,66.7,1510094,5323,4155592,330,7908352,
Kandi,age_proxy,ai_gen,95,88,7,92.6,22517753,59744,237028,10,7768695,52,51,1,98.1,19246616,76900,370127,10,7768695,43,37,6,86,3271137,31895,35162065,880,54380865,
Kiki,age_proxy,baseline,500,386,114,77.2,2086677801,23106,4173355,7,522451366,312,227,85,72.8,85070692,13034,272662,7,10993597,188,159,29,84.6,2001607109,136991,136331000,2702,1253270058,
Gacha,age_proxy,baseline,412,327,85,79.4,457504118,301311,1110446,7,20020944,161,109,52,67.7,71171125,64582,442056,7,8123717,251,218,33,86.9,386332993,739697,182127072,2289,690515945,
Gacha,age_proxy,reels_covid,500,476,24,95.2,4417839261,3437009,8835678,1,895642780,266,251,15,94.4,3226822477,4553558,12130911,7,895642780,234,225,9,96.2,1191016784,2720591,6065455500,3332,21495426720,
Gacha,age_proxy,ai_gen,451,389,62,86.3,667005555,172442,1478948,6,56069495,325,268,57,82.5,552665155,11418,1700508,6,56069495,126,121,5,96,114340400,398060,766929108,2334,3476308690,
Dark academia,age_proxy,reels_covid,500,444,56,88.8,1033026819,125769,2066053,13,241108631,133,90,43,67.7,615098796,17854,4624802,14,241108631,367,354,13,96.5,417928023,176262,2312401000,6216,13502083336,
Dark academia,age_proxy,ai_gen,250,233,17,93.2,571238821,33860,2284955,5,143729438,144,131,13,91,316357760,45554,2196928,5,39732400,106,102,4,96.2,254881061,21049,549232000,1165,675450800,
Cottagecore,age_proxy,reels_covid,104,41,63,39.4,15707039,490,151029,2,7879430,41,8,33,19.5,101915,94,2485,2,42501,63,33,30,52.4,15605124,1318,258440,82,2677563,
Cottagecore,age_proxy,ai_gen,186,161,25,86.6,42834216,3053,230291,1,26276889,157,133,24,84.7,36864093,2629,234803,1,26276889,29,28,1,96.6,5970123,22274,43673358,161,656922225,
Vaporwave,age_proxy,baseline,500,494,6,98.8,290050315,87529,580100,441,30626309,43,40,3,93,6837677,22876,159015,441,1785755,457,454,3,99.3,283212638,93074,79507500,217854,10714530,
Isekai,age_proxy,reels_covid,100,94,6,94,14230525,18279,142305,10,3354604,66,63,3,95.5,10047405,17049,152233,10,3354604,34,31,3,91.2,4183120,21833,15223300,940,20127624,
Vaporwave,age_proxy,reels_covid,364,142,222,39,44133681,501,121246,5,30626309,102,21,81,20.6,2007982,330,19686,9,1785755,262,121,141,46.2,42125699,685,7165704,1278,396437610,
Vaporwave,age_proxy,ai_gen,199,126,73,63.3,40109000,1346,201552,0,30626309,97,71,26,73.2,2160431,1549,22272,0,1785755,102,55,47,53.9,37948569,1058,4432128,0,130360115,
OTP,age_proxy,baseline,200,190,10,95,15424147,26614,77120,111,2329640,98,91,7,92.9,8531814,25646,87059,244,2329640,102,99,3,97.1,6892333,26917,17411800,46360,23296400,
OTP,age_proxy,reels_covid,500,485,15,97,497405565,46424,994811,58,101778619,251,240,11,95.6,157996388,43773,629467,58,75529452,249,245,4,98.4,339409177,48443,314733500,28130,1132941780,
OTP,age_proxy,ai_gen,500,454,46,90.8,422440081,29213,844880,18,258121558,224,195,29,87.1,380244592,39536,1697520,18,258121558,276,259,17,93.8,42195489,22752,848760000,8172,11873591668,
Headcanon,age_proxy,ai_gen,167,66,101,39.5,10548948,604,63167,1,4793137,132,48,84,36.4,10422122,572,78955,4,4793137,35,18,17,51.4,126826,1109,13185485,264,484106837,
Brony,age_proxy,baseline,363,340,23,93.7,138058387,27129,380326,6,39974843,106,94,12,88.7,72371088,15135,682746,6,39974843,257,246,11,95.7,65687299,39714,247836798,2040,919421389,
Scene kid,age_proxy,baseline,395,296,99,74.9,6681703717,146101,16915705,3,753241521,188,124,64,66,836926431,14429,4451736,3,160743549,207,172,35,83.1,5844777286,2010749,1758435720,888,15913611351,
Scene kid,age_proxy,reels_covid,500,479,21,95.8,5393039122,502888,10786078,10,803059818,289,275,14,95.2,4055076213,381752,14031405,23,803059818,211,204,7,96.7,1337962909,814994,7015702500,11017,16864256178,
Scene kid,age_proxy,ai_gen,327,308,19,94.2,6133421295,672253,18756640,2,819229319,256,242,14,94.5,4034669314,634558,15760427,2,819229319,71,66,5,93,2098751981,888835,5153659629,616,15565357061,
Isekai,age_proxy,ai_gen,500,481,19,96.2,240378090,73226,480756,16,28090391,264,255,9,96.6,75429006,68591,285715,16,9014323,236,226,10,95.8,164949084,77081,142857500,7696,171272137,
Shonen,age_proxy,baseline,312,177,135,56.7,98129250,2900,314516,7,22748645,138,58,80,42,10660798,391,77252,9,2289867,174,119,55,68.4,87468452,6706,24102624,1593,309132045,
Shonen,age_proxy,reels_covid,400,376,24,94,261067649,79294,652669,12,24796191,106,91,15,85.8,97640815,148586,921139,12,9413877,294,285,9,96.9,163426834,74665,368455600,4512,225933048,
Shonen,age_proxy,ai_gen,250,239,11,95.6,89733148,23704,358932,123,10777564,113,109,4,96.5,83282538,118419,737013,202,10777564,137,130,7,94.9,6450610,12357,184253250,48278,118553204,
Senpai,age_proxy,baseline,350,308,42,88,2006882956,258480,5733951,5,1499283749,131,107,24,81.7,212240744,62087,1620158,31,40776742,219,201,18,91.8,1794642212,430875,567055300,9548,1712623164,
Senpai,age_proxy,reels_covid,500,434,66,86.8,689474971,291326,1378949,5,29667906,292,249,43,85.3,429064162,178647,1469397,5,29414113,208,185,23,88.9,260410809,432813,734698500,2170,1941331458,
Senpai,age_proxy,ai_gen,500,500,0,100,384763567,246116,769527,1120,29667906,310,310,0,100,207097730,146356,668057,1120,12683258,190,190,0,100,177665837,435888,334028500,560000,0,
Tsundere,age_proxy,ai_gen,275,268,7,97.5,9286646,2955,33769,182,3426934,252,248,4,98.4,8945351,2866,35497,182,3426934,23,20,3,87,341295,7945,9761675,48776,23988538,
Yandere,age_proxy,baseline,500,500,0,100,1788811042,1695968,3577622,3790,65059871,93,93,0,100,345860213,382221,3718927,3790,65059871,407,407,0,100,1442950829,2035246,1859463500,1895000,0,
Yandere,age_proxy,reels_covid,450,450,0,100,455685332,330637,1012634,1440,57929799,57,57,0,100,97636763,219996,1712925,2157,57929799,393,393,0,100,358048569,332634,770816250,970650,0,
Yandere,age_proxy,ai_gen,500,490,10,98,1032817490,765875,2065634,21,46276506,299,294,5,98.3,781899424,1064246,2615048,46,46276506,201,196,5,97.5,250918066,434709,1307524000,22540,462765060,
Chibi,age_proxy,baseline,500,489,11,97.8,39389294,17268,78778,49,2231673,165,155,10,93.9,11337505,17144,68712,217,1121580,335,334,1,99.7,28051789,17480,34356000,106113,12337380,
Chibi,age_proxy,reels_covid,134,100,34,74.6,15690815,1592,117095,95,4257855,114,87,27,76.3,4958546,1555,43496,138,2996585,20,13,7,65,10732269,2017,5828464,13800,101883890,
Chibi,age_proxy,ai_gen,377,334,43,88.6,989274936,22193,2624071,4,282462061,290,250,40,86.2,223439538,15191,770481,4,112892667,87,84,3,96.6,765835398,60244,290471337,1336,4854384681,
Best girl,age_proxy,ai_gen,496,465,31,93.8,2325554927,262633,4688618,0,263652701,354,335,19,94.6,1865459685,325922,5269660,0,193011174,142,130,12,91.5,460095242,210045,2613751360,0,5983346394,
Fursona,age_proxy,baseline,381,249,132,65.4,28465011,2154,74711,52,4186503,131,80,51,61.1,13005565,1640,99279,56,2436164,250,169,81,67.6,15459446,2424,37825299,13944,321573648,
Fursona,age_proxy,reels_covid,250,171,79,68.4,50350534,2472,201402,8,31085866,82,50,32,61,33129167,1431,404014,116,31085866,168,121,47,72,17221367,2889,101003500,19836,2455783414,
Fursona,age_proxy,ai_gen,398,333,65,83.7,229296859,48267,576122,0,26464267,273,228,45,83.5,151973447,60333,556679,0,26464267,125,105,20,84,77323412,33636,221558242,0,1720177355,
Cosplay,age_proxy,baseline,350,345,5,98.6,7155467202,226985,20444192,66,2286790933,109,106,3,97.2,219380331,124343,2012663,66,48335159,241,239,2,99.2,6936086871,297725,704432050,22770,241675795,
Cosplay,age_proxy,reels_covid,500,434,66,86.8,1956183788,9923,3912367,0,176944688,421,355,66,84.3,1806208663,4326,4290281,0,176944688,79,79,0,100,149975125,381963,2145140500,0,11678349408,
Cosplay,age_proxy,ai_gen,499,493,6,98.8,3556362484,786367,7126978,203,546575479,487,481,6,98.8,3536441063,845411,7261685,203,546575479,12,12,0,100,19921421,277474,3623580815,100079,3279452874,
Werk,age_proxy,baseline,400,269,131,67.2,6706626,2352,16766,2,1722232,160,101,59,63.1,1245919,1877,7786,2,544202,240,168,72,70,5460707,2596,3114400,538,71290462,
Werk,age_proxy,reels_covid,37,25,12,67.6,274922,2176,7430,65,86258,12,5,7,41.7,32393,978,2699,173,18829,25,20,5,80,242529,2716,99863,4325,225948,
Werk,age_proxy,ai_gen,500,333,167,66.6,18273801,1858,36547,0,5274487,282,208,74,73.8,15402360,2348,54618,0,5274487,218,125,93,57.3,2871441,1716,27309000,0,880839329,
